name,topic,date
1er Sprint,Inv Operativa,2026-04-01
1er formativa,Adm de Recursos,2026-04-22
1er Coloquio,Simulacion,2026-05-04
1er parcial,Ing y Calidad,2026-05-05
1er parcial teórico,Inv Operativa,2026-05-07
1er parcial práctico,Inv Operativa,2026-05-08
1er parcial teoria,Simulacion,2026-05-09
2do parcial,Ing y Calidad,2026-06-11
2do parcial teórico,Inv Operativa,2026-06-11
2do parcial práctico,Inv Operativa,2026-06-12
2do Coloquio,Simulacion,2026-06-22
3er Parcial,Ing y Calidad,2026-06-25
2do Parcial teorico,Simulacion,2026-06-27
1er Recu,Ing y Calidad,2026-06-30
2da formativa,Adm de Recursos,2026-07-01
Examen Final,Ing y Calidad,2026-07-02
1er Recu,Simulacion,2026-07-04
Presentacion TPI,Simulacion,2026-07-06
Recu final,Ing y Calidad,2026-07-07
1er parcial,Adm de Recursos,2026-07-08
2do Recu,Simulacion,2026-07-14
Recus Formativas,Adm de Recursos,2026-07-15
1er Recu,Adm de Recursos,2026-08-12
3er formativa,Adm de Recursos,2026-09-30
4ta formativa,Adm de Recursos,2026-10-28
2do parcial,Adm de Recursos,2026-11-04
2do Recu + formativas,Adm de Recursos,2026-11-18
Presentacion TPI,Adm de Recursos,2026-11-25
Recu TPI,Adm de Recursos,2026-12-02
